Thema,Frage,OptionA,OptionB,OptionC,OptionD,OptionE,Korrekt
Technische Hilfeleistung,"Welche Aussagen zur Arbeit mit der losen Rolle sind richtig?","Die lose Rolle bewegt sich in Zugrichtung.","Der Festpunkt muss die doppelte Kraft aufnehmen.","Die aufzuwendende Zugkraft verdoppelt sich.","","","A"
Technische Hilfeleistung,"Welcher Winkel ist für die Zugrichtung ideal?","120°","180°","90°","45°","","C"
Technische Hilfeleistung,"Wie lautet das Hebelgesetz, wenn der Hebel im Gleichgewicht ist?","Last * Kraftarm = Kraft * Lastarm","Kraft = Last * Lastarm / Kraftarm","Kraft * Kraftarm = Last * Lastarm","Kraft * Kraftarm = 0","","C"
Technische Hilfeleistung,"Ab wann kann ein Gegenstand kippen, wenn eine Kraft auf ihn wirkt ?","Wenn die Kraft unterhalb des Schwerpunktes wirkt.","Wenn die Kraft oberhalb des Schwerpunktes wirkt.","","","","B"
Technische Hilfeleistung,"Wie wird eine feste Rolle auch genannt?","Klapprolle","Kraftrolle","Zugrolle","Umlenkrolle","","D"
Technische Hilfeleistung,"Wie verhält sich die feste Rolle in Bezug auf die Kraft (Kraftaufwand)?","Der Kraftaufwand verändert sich nicht, da die Kraft nur umgeleitet wird.","Der Kraftaufwand halbiert sich ungefähr. Dafür muss aber mit dem Zugseil ein höherer Weg zurückgelegt werden.","Rollen verändern den Kraftaufwand nicht.","","","A"
Technische Hilfeleistung,"Wie verhält sich die lose Rolle in Bezug auf die Kraft (Kraftaufwand)?","Der Seilweg verlängert sich zwar, jedoch ändert sich der Kraftaufwand nicht.","Die lose Rolle lenkt die Kraft nur um. Auf den Kraftaufwand hat sie keinen Einfluss.","Der Kraftaufwand halbiert sich ungefähr. Jedoch muss ca. der doppelte Seilweg aufgewendet werden.","","","C"
Technische Hilfeleistung,"Die goldene Regel der Mechanik lautet: 'Was an Kraft gespart wird, muss an Weg zugelegt werden.'","Wahr","Falsch","","","","A"
Technische Hilfeleistung,"Wenn ein einseitiger Hebel eingesetzt wird kann im Gegensatz zum zweiseitigen Hebel eine höhere Last angehoben werden. Vorausgesetzt bei beiden Hebelvarianten wird die gleich Kraft eingesetzt.","Wahr","Falsch","","","","A"
Technische Hilfeleistung,"Sie setzen im Hilfeleistungseinsatz hydraulisches Rettungsgerät ein. Welche Grundsätze sind zu beachten?","Es muss mindestens ein 2-facher Brandschutz vorhanden sein.","Es muss mindestens eine Führungskraft mit der Qualifikation Zugführer vor Ort sein.","Sie müssen mindestens eine Löschgruppe vor Ort haben.","Es muss ein 2. hydraulischer Rettungssatz an der Einsatzstelle sein.","","A;D"
Technische Hilfeleistung,"Welche Aussagen zur festen Rolle sind richtig?","Die feste Rolle bewegt sich in Zugrichtung.","Der Festpunkt muss die doppelte Kraft aufnehmen.","Die feste Rolle bleibt an ihrem Platz.","","","B;C"

Führung,"Was zählt zu den Aufgaben eines Gruppenführers auf der Anfahrt zur Einsatzstelle?","Informationsweitergabe an die Mannschaft (Lage)","Überprüfung der Funktionseinteilung der Mannschaft","Alarmierung des Kreiswehrführers","","","A;B"
Führung,"Sie wollen an einer Einsatzstelle die Einsatzleitung an eine übergeordnete Führungskraft übergeben. Was müssen Sie machen um den Wechsel der Einsatzleitung zu vollziehen?","Den Betroffenen mitteilen, dass die Einsatzleitung gewechselt hat.","Allen am Einsatz beteiligten Kräften den Wechsel der Einsatzleitung mitteilen.","Die gelbe Kennzeichnungsweste des Einsatzleiters übergeben.","","","B;C"
Führung,"Welche Vorteile bietet der autoritäre Führungsstil?","Kurz anhaltende Verbesserung der Arbeitsleistung.","Lässt den Mitarbeitenden viele Freiheiten.","Eigene Entscheidungsfindung der Mitarbeitenden.","","","A"
Führung,"Welche der folgenden Funktionen sind Führungsfunktionen im Einsatz nach der FwDV100?","Einsatzabschnittsleiter","Einheitsführer","Atemschutzüberwachung","","","A;B"
Führung,"Welche Eigenschaften sollten Führungskräfte haben?","Glaubwürdigkeit","Entschlusskraft und Entschlussfreudigkeit","Risikobereitschaft","","","A;B"
Führung,"In welchen Fällen wird in der Regel nachgefordert?","Wenn ich mit einer Gruppe allein in den Einsatz gehe muss immer nachgefordert werden.","Wenn die Gesamtstärke der Mannschaft für die Einsatzsituation nicht ausreichend ist.","Wenn ich als Gruppenführer dauerhaft die Einsatzleitung übernehmen müsste und mehr als eine Gruppe im Einsatz ist.","","","B;C"
Führung,"Sie übergeben als Gruppenführer die Einsatzstelle/Einsatzleitung an Ihren Wehrführer. Was muss ein Übergabegespräch beinhalten?","Wiederholen aller Lagemeldungen an die Leitstelle","Erkundungsergebnisse aus der Lagefeststellung, sowie festgestellte Gefahren.","Bereits durchgeführte Maßnahmen.","","","B;C"
Führung,"In welcher Reihenfolge stehen die Bestandteile des Führungsvorganges?","Lagefeststellung, Planung, Befehlsgebung","Erkundung/Kontrolle, Entschluss/Beurteilung, Befehl/Lagemeldung","Lagefeststellung, Befehlsgebung, Planung","Planung, Lagefeststellung, Befehlsgebung","","A;B"
Führung,"In welche Teilbereiche gliedert sich das Führungssystem nach der FwDV 100?","Führungsorganisation, Führungsvorgang, Führungsmittel","Erkundung, Beurteilung, Befehlsgebung","Führungsstil, Fachwissen, Führungsmittel","Führungsgehilfe, Leitstelle, Führungsmittel","","A"
Führung,"Der Einsatzbefehl beim Einsatz ohne Bereitstellung oder generell nach der abschließenden Befehlsabgabe schließt mit dem Kommando ""Zum Einsatz vor!""","Wahr","Falsch","","","","B"
Führung,"In welcher Reihenfolge läuft i.d.R. die Erkundung ab?","Frontalansicht, Befragung betroffener, rückwärtige Ansicht, Prüfung von Zugänglichkeiten","Frontalansicht, Befragung Betroffener, Prüfung von Zugänglichkeiten, rückwärtige Ansicht","Befragung Betroffener, Frontalansicht, rückwärtige Ansicht, Prüfung von Zugänglichkeiten","","","B"
Führung,"Kennzeichnen Sie die korrekte Lagemeldung nach dem Schema MELDEN(A)!","Eine Löschgruppe, ein RTW zur Einsatzstelle. Hier brennt ein Wäschetrockner. Retten die Person mit Leiter. Sicherheitstrupp ist gestellt.","Rückmeldung vom Zimmerbrand, Löschmaßnahmen laufen, 1 Löschgruppe, 1 RTW zum Einsatzort","Florian Schleswig Holstein 20-45-01 mit Lagemeldung, Einsatzstelle Westerstraße 45, 1 Person in der Wohnung eingeschlossen, Menschenrettung über tragbare Leiter ist eingeleitet, 1 Trupp unter PA mit 1 C-Rohr im Einsatz, Nachforderung 1 weitere Löschgruppe, 1 RTW, 1 NEF","Florian Schleswig Holstein 20-45-01 mit Lagemeldung, Einsatzstelle Westerstraße 45, Zimmerbrand nach vermutetem technischen Defekt an Wäschetrockner, 1 Person in der Wohnung eingeschlossen, Menschenrettung über tragbare Leiter ist eingeleitet, 1 Trupp unter PA mit 1 C-Rohr im Einsatz, Nachforderung 1 weitere Löschgruppe, 1 RTW, 1 NEF, Aufstellung Feuerwehr und Rettungsdienst Westerstraße Höhe Haus Nr. 2","","D"
Führung,"Bei einem Einsatz mit Bereitstellung enthält der Befehl zunächst erste Lage, Wasserentnahmestelle, Lage des Verteilers.","Wahr","Falsch","","","","A"
Führung,"Was sind Führungsmittel?","Fernmeldeskizze, Einsatzleitwagen, Führungsgruppe","Befehlsschema, Gefahrenmatrix, Lagemeldung","Funkgeräte, Lagekarten, Nachschlagewerke","","","C"
Führung,"Was ist die ""kalte Lage"" und was gehört zu ihr?","Die Lage nach der Erkundung (betroffene Personen, Schaden, Zugänglichkeit Gebäude)","Informationen, die schon vor dem Eintreffen am Einsatzort zur Verfügung stehen (Zeit, Witterung, Lage des Einsatzobjektes, Einsatzauftrag (Einsatzstichwort), verfügbares Personal)","Die Lage nach abgeschlossener Menschenrettung (Anzahl der geretteten Personen, Verletzungen, benötigte Rettungsmittel)","Die Lage nach Abschluss der Brandbekämpfung (genutzte Strahlrohre, Zerstörungsgrad)","","B"
Führung,"Wie lautet das Befehlsschema?","Einheit, Auftrag, Mittel, Ziel, Weg","Einheit, Auftrag, Mittel, Weg, Ziel","Wasserentnahmestelle, Lage des Verteilers","Einheit, Mittel, Auftrag, Weg, Ziel","","A"
Führung,"Wann ist eine Lagemeldung an die Leitstelle abzusetzen?","Bei kleineren Einsätzen (z.B. Türöffnung usw.) sind keine Lagemeldungen notwendig","Wenn der Einsatzleiter es für nötig hält","Bei jeder Lageänderung und ggfs. in zeitlich regelmäßigen Abständen","Nach jeder Lagebesprechung","","C;D"
Führung,"Wer ist in der Gruppe für die Atemschutzüberwachung verantwortlich?","Der Melder","Der Gruppenführer","Der Maschinist","","","B"

Einsatztaktik und Fahrzeugkunde,"Für welche der folgenden Ereignisse ist eine Einsatzplanung sinnvoll?","Türöffnungen","Gefahrguteinsätze","Einsätze bei Hochwasser","","","B;C"
Einsatztaktik und Fahrzeugkunde,"In welchen Fällen ist eine Sofortrettung durchzuführen?","Bei akuter Absturzgefahr.","Bei Anweisung durch den Rettungsdienst.","Bei eintretender Dunkelheit.","","","A;B"
Einsatztaktik und Fahrzeugkunde,"Was gehört zu den Gefahren der Einsatzstelle gemäß Gefahrenmatrix (AAAA C EEEE)?","Chemische Stoffe","Angstreaktion","Biologische Gefahren","","","A;B"
Einsatztaktik und Fahrzeugkunde,"Der kritische Wohnungsbrand unterstellt einen Brand im ersten Obergeschoss eines Gebäudes, in dem der Treppenraum als erster baulicher Rettungsweg verraucht ist und die Menschenrettung über Rettungsmittel der Feuerwehr als zweiten Rettungsweg erfolgen muss.","Wahr","Falsch","","","","A"
Einsatztaktik und Fahrzeugkunde,"Welchen taktischen Einsatzwert besitzt ein Löschgruppenfahrzeug?","Technische Hilfeleistung größeren Umfangs","Durchführung einer Brandbekämpfung","Fördern von Löschwasser","","","B;C"
Einsatztaktik und Fahrzeugkunde,"Welche Aussagen zu Brandfluchthauben sind richtig?","Sie dienen zum Schutz vor Atemgiften im Brandrauch.","Es befinden sich 2 Stück in der Standardbeladung bei TSF-W, MLF, LF und HLF.","Für Brandfluchthauben gilt eine Alterbeschränkung.","","","A;B"
Einsatztaktik und Fahrzeugkunde,"Was trifft auf ein Tragkraftspritzenfahrzeug mit Wasser (TSF-W) zu?","Es hat eine Gruppenbesatzung (1/8).","Es hat eine Staffelbesatzung (1/5)","Es hat eine Zusatzbeladung für eine Staffel (1/5).","","","B"
Einsatztaktik und Fahrzeugkunde,"Welche Aussagen in Hinblick auf die Fahrzeugausstattung ist richtig? (Gehen Sie von Fahrzeugbeladungen nach Norm aus!)","TSF haben keine Atemschutzgeräte in der Beladung.","Bei allen TSF, MLF, LF und HLF gehören 4 Atemschutzgeräte zur Standardbeladung.","Bei allen LF und HLF befinden sich mindestens 2 Atemschutzgeräte im Mannschaftsraum.","","","B;C"
Einsatztaktik und Fahrzeugkunde,"Was sind gemäß der Feuerwehrdienstvorschriften taktische Einheiten der Feuerwehr?","Staffel","selbstständiger Trupp","Zugführer","Angriffstrupp","A;B"
Einsatztaktik und Fahrzeugkunde,"Sie sind mit einem LF10 (Normbeladung) an der Einsatzstelle. Sie führen einen Schaumeinsatz durch. Sie verwenden die Standardausrüstung zur Schaumerzeugung (Zumischer Z4, Schaumstrahlrohr M4/50). Da Ihnen 120 Liter Schaummittel zur Verfügung stehen, werden Sie ihr Schaummittel bei einer Zumischrate von 3% innerhalb von 10 Minuten verbraucht haben. Stimmt diese Behauptung?","Wahr","Falsch","","","A"

Gefahrgut,"Welche Informationen können aus der Buchstaben/Zahlen Kombination im oberen Teil der Gefahrgutwarntafel entnommen werden?","Haupt- und Nebengefahr","Menge des Gefahrgut","Hinweise auf Einsatzmaßnahmen (Maßnahmengruppen)","","","A;C"
Gefahrgut,"Wie lautet die GAMS Regel?","Gefahr erkennen, Absperrmaßnahmen, Menschenrettung, Spezialkräfte","Gefahrenmatrix, Absperrmaßnahmen, Menschenrettung, Sicherungsmaßnahmen","Gefahr erkennen, Ausbreitung verhindern, Menschenrettung, Spezialkräfte","","","A"
Gefahrgut,"Welcher Grundsatz gilt für die Absperrmaßnahmen, wenn der Gefahrstoff noch nicht erkannt ist?","5m Gefahrenbereich – 10 m Absperrbereich","50m Gefahrenbereich – 100m Absperrbereich","So lange der Stoff nicht bekannt ist, brauchen keine Festlegungen zur Absperrung getroffen werden.","100m Gefahrenbereich – 200m Absperrbereich","","B"
Gefahrgut,"Was beinhaltet die Schutzausrüstung der Körperschutzform (KSF) 1?","Persönliche Schutzausrüstung zur Brandbekämpfung mit Pressluftatmer und Kontaminationsschutzhaube.","Da die KSF 1 beim Gefahrgut-Ersteinsatz zur Menschenrettung dient, muss sie keinen besonderen Anforderungen entsprechen.","Die Kontaminationsschutzhaube kann hilfsweise durch die Feuerschutzhaube ersetzt werden.","Die KSF 1 besteht grundsätzlich aus einem Chemikalienschutzanzug (CSA).","","A;C"
Gefahrgut,"Welche Aufgabe hat der Angriffstrupp im Gefahrgut-Ersteinsatz?","Er sperrt die Einsatzstelle ab.","Er baut die Dekontaminationsstelle auf.","Er führt die Menschenrettung unter Körperschutzform (KSF) 1 durch.","Er betreut Betroffene.","","C"
Gefahrgut,"Welche Aufgabe hat der Wassertrupp im Gefahrgut-Ersteinsatz?","Er führt die Menschenrettung durch.","Er sperrt die Einsatzstelle ab und wird Sicherheitstrupp.","Er fängt austretendes Gefahrgut auf.","Er baut die Dekontaminationsstelle auf.","","B"
Gefahrgut,"Welche Aufgabe hat der Schlauchtrupp im Gefahrgut-Ersteinsatz?","Er wird Sicherheitstrupp.","Er sperrt die Einsatzstelle ab.","Er baut die Dekontaminationsstelle auf.","Er unterstützt den Angriffstrupp bei der Menschenrettung.","","C"
Gefahrgut,"Die obere Ziffer der Warntafel gibt Auskunft darüber, um welchen Stoff es sich handelt.","Wahr","Falsch","","","","B"
Gefahrgut,"Die untere Ziffer gibt Rückschlüsse auf die grundlegenden Stoffeigenschaften.","Wahr","Falsch","","","","B"
Gefahrgut,"Worin besteht der Unterschied zwischen Gefahrgut und Gefahrstoff?","Sie unterscheiden sich im Aggregatzustand.","Sie unterscheiden sich in der Art der Verpackung.","Sie unterscheiden sich in der Menge.","Gefahrgüter sind Gefahrstoffe, die auf Straße, Schiene, zu Wasser und in der Luft transportiert werden.","","D"
Gefahrgut,"Bei welcher Gefahrengruppe ist ein Einsatz ohne besondere Schutzausrüstung (KSF 1) möglich?","Gefahrengruppe 3","Gefahrengruppe 1","In keiner Gefahrengruppe darf auf Sonderausrüstung verzichtet werden.","Gefahrengruppe 2","","B"
Gefahrgut,"Was sind Hinweise für Schadenslagen mit ABC Gefahren?","Beißender, stechender Geruch","bewusstlose Personen","Aussagen von Betroffenen","","","A;C"

Vorbeugender Brandschutz und BMA,"Ein Täuschungsalarm ist ein ordnungsgemäßes Auslösen der Brandmeldeanlage ohne reales Feuer und damit einem notwendigen Eingreifen der Feuerwehr in Form von Lösch- oder Rettungsmaßnahmen.","Wahr","Falsch","","","","A"
Vorbeugender Brandschutz und BMA,"Was zählt zu den ortsfesten brandschutztechnischen Einrichtungen?","Notduschen","Feuerlöscher","Steigleitungen","","","B;C"
Vorbeugender Brandschutz und BMA,"Was ist eine G-Verglasung?","Das 'G' steht für den Werkstoff Glas.","Sie verhindert den Durchtritt von Feuer und Rauch.","Sie verhindert den Durchtritt von Feuer, Rauch und Wärmestrahlung.","","","B"
Vorbeugender Brandschutz und BMA,"Was ist eine F-Verglasung?","Zwischen zwei Glasscheiben befindet sich eine Verbundmasse, die bei Wärmebeaufschlagung aufschäumt.","Sie verhindert den Durchtritt von Feuer, Rauch und Wärmestrahlung.","Das 'F' in der Bezeichnung steht für 'Faserverbundstoff'","","","A;B"
Vorbeugender Brandschutz und BMA,"Wer erkundet zusammen mit den Einheitsführer im inneren eines Gebäudes?","Der Angriffstrupp mit Kleinlöschgerät und ggfs. druckloser C-Leitung","Der Schlauchtrupp","Der Wassertrupp","Der Melder mit Kleinlöschgerät","","A"
Vorbeugender Brandschutz und BMA,"Wie nennt man den Punkt den der Einheitsführer als erstes ansteuert?","Feuerwehrschlüsseldepot (FSD) gekennzeichnet durch die Blitzleuchte","Zunächst wird der benannte Gebäudeverantwortliche aufgesucht.","FAT (Feuerwehranzeigetabelau) und FBF (Feuerwehrbedienfeld)","Der erste nicht versperrte Zugang wird verwendet.","","A"
Vorbeugender Brandschutz und BMA,"Welche Aufgabe hat der Melder beim Einsatz mit einer Brandmeldeanlage (BMA)?","Da der Einheitsführer am FAT und FBF bleibt, erkundet er mit dem Angriffstrupp die Lage.","Er verbleibt im Fahrzeug und übermittelt die Lagemeldungen an die Leitstelle.","Er begleitet den Einheitsführer bei der Erkundung.","Er unterstützt den Wassertrupp, da meistens in eine Steigleitung eingespeist werden muss.","Er verbleibt am FBF (Feuerwehrbedienfeld) und am FAT (Feuerwehranzeigetabelau) und hält Kontakt zum Einheitsführer.","E"
Vorbeugender Brandschutz und BMA,"Wann wird bei einem Einsatz mit einer Brandmeldeanlage die erste Lagemeldung an die Leitstelle abgesetzt?","Sobald die Erkundung abgeschlossen ist.","Sobald der Einheitsführer an der Bedienstelle mit Feuerwehrbedienfeld (FBF) und Feuerwehranzeigetabelau (FAT) angekommen ist und den ausgelösten Melder identifiziert hat.","Wenn feststeht ob es sich um einen Täuschungsalarm oder ein bestätigtes Feuer handelt.","Sobald man an der Einsatzstelle eingetroffen ist.","","B"
Vorbeugender Brandschutz und BMA,"Aus welchem Paragrafen der Landesbauordnung SH lassen sich die Ziele des vorbeugenden Brandschutz ableiten?","§ 3 Allgemeine Anforderungen","§ 15 Brandschutz","§ 17a Bauarten","","","B"
Vorbeugender Brandschutz und BMA,"Wie gehen wir als örtliche Freiwillige Feuerwehr mit Anfragen von Bürgern, Bauherrn, Behörden / Ämtern zum Vorbeugenden Brandschutz um?","Anfragen zu Belangen des Vorbeugenden Brandschutzes dürfen und sollen gerne entgegen genommen werden. Die Wehrführung entscheidet über die weitere Vorgehensweise, z.B. Kontaktaufnahme mit der zuständigen Ordnungsbehörde, Bauaufsicht oder Brandschutzdienststelle. Die Wehrführung berät die Bürgermeisterin oder den Bürgermeister als Träger der Feuerwehr in allen Fragen des Feuerwehrwesens.","Die Feuerwehr führt einen Termin vor Ort durch und legt dort entsprechende Maßnahmen fest.","Es muss eine schriftliche Stellungnahme durch die Wehrführung abgegeben werden.","","","A"
Vorbeugender Brandschutz und BMA,"Auf welche Weise kann ein zweiter Rettungsweg sichergestellt werden?","Rettungsgeräte der Feuerwehr (tragbare Leitern)","baulich- 2. notwendige Treppe","Sprungrettungsgeräte der Feuerwehr","Anwendung von Brandfluchthauben","Sicherheitstreppenraum","A;B;E"
Vorbeugender Brandschutz und BMA,"Bis zu welcher Höhe ist die 4-teilige Steckleiter als zweiter Rettungsweg zugelassen?","Bis zum 2. Obergeschoss","Brüstungshöhe < 8m des höchsten zur Rettung geeigneten Fensters","Zur Menschenrettung auch bis zum 3. Obergeschoss","","","B"
Vorbeugender Brandschutz und BMA,"Was ist ein Sicherheitstreppenraum?","Ein Treppenraum mit besonderer Größe um eine größere Menge an flüchtenden Personen aufzunehmen.","Ein Treppenraum, der durch bauliche Maßnahmen gegen das Eindringen von Rauch und Feuer geschützt ist.","Ein Treppenraum mit besonderer Sicherheitsbeleuchtung zur Kennzeichnung des Rettungsweges.","","","B"
Vorbeugender Brandschutz und BMA,"Was sind Bestandteile einer Brandmeldeanlage (BMA)?","Steigleitungen","Brandmeldezentrale (BMZ)","Feuerwehrlaufkarten","","","B;C"
Vorbeugender Brandschutz und BMA,"Löst eine Brandmeldeanlage z.B. aufgrund eines angebrannten Essens aus und es ist kein Eingreifen der Feuerwehr in Form von Löschmaßnahmen erforderlich handelt es sich um einen Fehlalarm.","Wahr","Falsch","","","B"

Baukunde und Recht,"Wann sind Einsätze der Feuerwehr kostenfrei?","Im Rahmen der unmittelbaren Gefahrenabwehr (hoheitliche Aufgaben)","Nur wenn das Hilfeersuchen über den Notruf (Leitstelle) an die Feuerwehr gestellt wird.","Innerhalb des Amtsbereiches bei gemeindeübergreifender Hilfe.","","","A;C"
Baukunde und Recht,"Was kennzeichnet eine offene Bauweise?","Bebauung von Grundstücken mit freistehenden Gebäuden.","Gebäude mit Dachterrassen","Abstandsflächen zur seitlichen Grundstücksgrenze","","","A;C"
Baukunde und Recht,"Eine harte Bedachung ist beständig gegen Wärmestrahlung und Flugfeuer. Sie kann unter Auflagen auch aus brennbaren Baustoffen bestehen.","Wahr","Falsch","","","","A"
Baukunde und Recht,"Was ist unter dem Begriff Objektschutz zu verstehen?","Der Schutz von speziellen Objekten in Verantwortung des Gemeindewehrführers.","Die Versorgung von besonderen Objekten mit zusätzlichem Löschwasser und entsprechenden Löscheinrichtungen in Verantwortung des Betreibers.","Die Ausstattung von Objekten mit einer BMA.","","","B"
Baukunde und Recht,"Im §38 der StVO wird das Wegerecht geregelt. Ebenso ist dort hinterlegt, welche Auswirkungen von blauem Blinklicht in Zusammenhang mit dem Einsatzhorn ausgehen. Es ordnet anderen Verkehrsteilnehmenden an sofort freie Bahn zu schaffen.","Wahr","Falsch","","","","A"
Baukunde und Recht,"Welches Verhalten haben Natursteine unter Brandeinwirkung?","Entzündbar ab ca. 500 °C.","Völliger Zerfall ab ca. 1000°C bei Kalksteinen.","Teilweises, schlagartiges Zerplatzen.","","","B;C"
Baukunde und Recht,"Welche Überlegungen stellen Sie bei Objekten mit Nagelplattenbindern an?","Im Brandfall darf nur von einem geringen Feuerwiderstand und Einsturzgefahr ausgegangen werden.","Die Schadensauswirkung kann von außen nur schwer beurteilt werden.","Diese Tragwerke sind statisch so berechnet, dass sie bei Versagen einer Verbindungsstelle stark einsturzgefährdet sind.","","","A;B;C"
Baukunde und Recht,"Welche Eigenschaften treffen auf Stahl zu?","gute Wärmeleitfähigkeit.","Verliert unter Wärmeeinwirkung an Stabilität.","hohe Tragfähigkeit.","Dehnt sich unter Wärmeeinwirkung aus.","Auch unter Wärmeeinwirkung eine hohe Festigkeit.","A;B;D"
Baukunde und Recht,"Welche Eigenschaften treffen bei Beton zu?","plötzliches Bauteilversagen insbesondere bei Spannbeton.","Gute Feuerwiderstandsfähigkeit","hohe Druckfestigkeit","geringes Bauteilgewicht.","","A;B;C"
Baukunde und Recht,"Wie kann überschlägig die Abbrandrate von Holz beziffert werden?","0,5 - 1 cm pro Minute","0,5 - 1 m pro Minute","0,5 - 1 mm pro Minute","2 - 3 cm pro Minute","","C"
Baukunde und Recht,"Ein Bauteil trägt die Bezeichnung F90-AB. Was bedeutet das? Es handelt sich dabei um ein Bauteil, dass aus nicht brennbaren Baustoffen mit geringen Anteilen aus brennbaren Baustoffen (Baustoffklasse B) besteht und eine 90 minütige Feuerwiderstandsdauer aufweist.","Wahr","Falsch","","","","A"
Baukunde und Recht,"Die Einheitstemperaturzeitkurve (ETK) ist eine Temperaturverlaufskurve, die den Verlauf der Temperatur eines Normbrandes darstellt. Sie wird zur Klassifizierung der Feuerwiderstandsdauer von Bauteilen eingesetzt.","Wahr","Falsch","","","","A"
Baukunde und Recht,"Was ist die Bauweise?","Stellung der Gebäude in Bezug auf die Grundstücksgrenzen.","Es bezeichnet die verwendeten Baustoffe, sowie die Zusammenfügung der Baustoffe","","","","A"
Baukunde und Recht,"Welche Arten der Bauweise werden unterschieden?","offene Bauweise (Länge der Gebäudefronten bis max. 50 m)","massive Bauweise","geschlossene Bauweise (Länge der Gebäudefronten > 50m, geschlossene Straßenrandbebauung)","nicht massive Bauweise","","A;C"
Baukunde und Recht,"Welche Bauarten werden unterschieden?","offene Bauart","geschlossene Bauart","massive Bauart (selbsttragend)","nicht massiv (z.B. tragendes Fachwerk)","","C;D"
